Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95
cctv_camera,20,20,0.85863,0.9,0.87883,0.93575,0.72953
desktop_pc,23,23,0.57824,0.43478,0.49635,0.46714,0.29383
router,28,28,0.86771,0.78571,0.82468,0.79423,0.66741
smart_board,18,18,0.51913,0.77778,0.62266,0.83003,0.67895
