class,precision,recall,f1,map50,map50_95
cctv_camera,0.8586,0.9000,0.8788,0.9358,0.7295
desktop_pc,0.5782,0.4348,0.4964,0.4671,0.2938
router,0.8677,0.7857,0.8247,0.7942,0.6674
smart_board,0.5191,0.7778,0.6227,0.8300,0.6790
