predicted_or_actual,cctv_camera,desktop_pc,router,smart_board,background
cctv_camera,18.0,0.0,0.0,0.0,5.0
desktop_pc,1.0,10.0,0.0,1.0,9.0
router,0.0,0.0,23.0,0.0,3.0
smart_board,0.0,5.0,0.0,14.0,9.0
background,1.0,8.0,5.0,3.0,0.0
