Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95
cctv_camera,20,20,1.0,0.5334,0.69571,0.60075,0.58072
desktop_pc,23,23,0.34646,0.6087,0.44158,0.47464,0.46184
router,28,28,0.7739,0.85714,0.8134,0.73871,0.71161
smart_board,18,18,1.0,0.21254,0.35056,0.24386,0.22152
