predicted_or_actual,cctv_camera,desktop_pc,router,smart_board,background
cctv_camera,11.0,0.0,0.0,0.0,0.0
desktop_pc,0.0,16.0,0.0,0.0,151.0
router,1.0,0.0,24.0,0.0,6.0
smart_board,0.0,0.0,0.0,4.0,1.0
background,8.0,7.0,4.0,14.0,0.0
